,Comments,Emotion
657,bye bye lies gunneru pappu tughlaq jagan,Negative
658,good analysis,Positive
659,this is india polki sir modi's day came from sadni,Positive
660,when i was in ap current was 200 now in karnataka 600,Negative
661,both telugu states are much better just come to karnataka see current bill,Neutral
662,bbc entire nnebonda no one is watching bbc english channel so you are here,Negative
663,"all this modi rama rajyam mahima babu! if you don't understand, know modi's friend audani, to make him from 70 thousand crore assets to 12 lakh crore assets, we have to get coal from adani. modi has done one thing because who doesn't buy it, anyone in the country should buy at least 10% of what they buy from non-players, otherwise modi will get angry and harass the state in many ways, because all the states are buying them from non-players, so the charges are increasing heavily.",Negative
664,karnataka lo inthakante darunga undayi congress govt,Positive
665,it is right to leave any state and swallow it,Positive
666,they are cheating because they are not educated like all of us,Negative
667,everything they do is fraud,Negative
668,modi sold electricity meters to adani,Negative
669,schemes do not come out of nowhere,Negative
670,are there true up charges in ap or other states in india? bbc telugu sir make a video of that too sir,Negative
671,"if cbn sir comes, free current or how much is used, two rupees per unit (like my brother ntr garu two rupees per kg of rice).",Neutral
672,"acs, fans, coolers, will they come? bbc (enadu 2)",Positive
673,vinnasha kaaley vipparithabuddhi tukalaq cheddy poyakalam vasthadi raa,Negative
674,raavaali jagan kaavali jagan annaru gaa lakhs of crores dobbesadu ee mlas aythe beggars nundi rich ayyaru siggunte asalu veyakandi votes choose some independent or new party manchivaadini chusi veyandi janasena try cheyandi ippudu tdp vachina ysrcp meedha attack vaallu vasthe veella meedha attack revolution start cheyalisindhe himsa lekundaa state maradhu,Negative
675,debts debts fear debts state debts so debts to recover debt money ee electricity bill comes like this,Negative
676,bbc what about telangana,Positive
677,bbc lo ap state,Positive
678,any how badude badudu,Negative
679,we got some 3k for 2 months in a row,Positive
680,why surprise? caste based reservations are given are also same just because somebody done a mistake thousand years ago now their grand grand children are getting reservations,Negative
681,correct bill even cutlera and mataram will not work. if you get used to all the hype then only health agriculture and education schemes should be encouraged.,Negative
682,it is also good to charge power cut charges when there is no power,Positive
683,hard to understand even for experts or one has to pay lot of attention human life now has became too complex with technology govt controls increasing population mutual interferences increasing aspirations consumerism rapid europinization of bharat,Neutral
684,"these are the days when people think that if they press a button, they will get money, but if they pay money, they will vote.",Negative
685,"if you want freebs, the burden will fall on other people, but the politicians have borne it, so instead of hoping for freebs, you should vote for good people.",Positive
686,kojanakoduku pashyakathugluk sadistic daridrudu jagamreddy incapable administration his criminal mindset,Negative
687,bbc mana chandranna argenta should become the chief minister only then the current bill will come down,Negative
688,jai jagun,Neutral
689,2018 lo we are giving meter vadhu and noc tesukunna to them,Positive
690,elinwari daya,Positive
692,internationally recognized exploitation is being done,Positive
693,1500 bill was received last month but this month 3 came,Negative
694,andhra jagan vs ambani both together looting the ap people & state how they looting the poor people of ap,Positive
695,cbn garu always great jai tdp vote for tdp only for aps bright future as cm between 2014 to 2019 cbn never increased not even once electrical charges,Positive
696,modi mark ruling will be like that nothing is impossible to loot the public,Negative
697,my wayward son is dressed as a wit or vote,Positive
698,war is the only chance,Positive
699,e rates okka ap lo ne vasulu chesthunnara india lo anni states vasulu chesthunnara adi-video cheyandi kutra jaruguthunnado ledho appudu comments chestamu vedio cheyaka pothe idi kutra video,Negative
700,aren't we paying taxes to build water roads?,Negative
701,"all this is not necessary, we are like sheep, we will vote like sheep, and again like sheep, we will win gagan moya jai ​​gagan moya",Negative
702,karnatakalo electricity bills penchaarani protest chestunnaru ap people ki 7times penchinaa okkaroo bayataki raaledu protest cheyyaledu news channels debates lo koorchuni gontu chinchukuntunnaru i think ap people are soooo rich otherwise learn from karnataka,Negative
703,"we need all the free stuff, aunty, how should she keep paying extra?",Positive
704,ap,Positive
705,it raids on you because you install such programs,Negative
706,adani is a patriot in the eyes of modi,Positive
707,aiya mee sodhi apandu aiya you are a channel that has lost its direction,Negative
708,good morning india,Positive
709,"in andhra, at least, they find out, but in telangana, they steal without telling everything",Neutral
710,in andhra the fan speed is set at 151 and how will the bill come?,Negative
711,good explanation bbc,Positive
712,everyone will know why you say bbc channel is green media in the form of this video. those who paid the rent have left and now who is paying the bill. now those who got the rent key have to pay because of the last government's management.,Negative
713,a monthly bill is good,Positive
714,"the poor people who are winning by supporting thousands of votes to the leaders of economic corruption without protesting the corrupt leaders, the poor people are asking them to dig up the wealth of the people to the corporates and sell it to the corporates. they are making a fuss without having the guts to resist the opposition",Negative
715,"people's wealth is mined and sold to corporates. leaders buy it at high prices and eat it all. people are used to luxury, drug addiction and family quarrels.",Positive
716,solar's wealthy saree,Positive
717,everyone is a thief,Negative
718,lord shiva's limbs were blown off 3 times agni poured semen into agni's mouth shiva was defeated in gambling by parvati and left naked hanuman was born after pouring semen into anjani's ear he took beautiful girls to the sky and fulfilled his sexual desire shiva met vishnu and begot ayyappa shiva vishnu brahma indra a woman spews semen at the sight of it lord brahma marries he went and walked around showing his penis parvati trampled shiva under her feet shiva married his mother adishakti shiva died of excessive sex krishna changed arjuna into a female he made his son sambu into a leper he saw the breasts of the gopis a gopi said i was menstruating show me where menses come from a washerman who did not give clothes krishna killed him with a single arrow adi shakti chased her sons shiva vishnu brahma to satisfy their lust durga drank alcohol and danced naked rama made sita enter the fire a pregnant sita left valini in the forest he killed from a tree branch he killed shudra sambhuku ram and sita lakshmana krishna ate meat he drank alcohol he insulted his father dasharatha buddha he had many wives he confessed that he had committed many sins the cause of lakshmana's death he committed suicide by jumping into the river sarayu brahma raped his daughter saraswati brahma went to shiva's wedding and saw parvati and spermed him. karchu kuntadu vishnu indra raped tulsi ahalya brinda these things should be taught as curriculum in india or hindu scriptures should be banned in india.,Negative
719,it has increased in every state. why do you cry over andhra?,Positive
720,arey paid artist ap lo okkatey kadhu prati state lo increase aaindhi summer lo excess consume chest they increase avvadha?? endhuku ra antha badnam chesthunnaru ma state ni,Negative
722,jagan mavaiya,Neutral
723,don't worry soon you will be taxed for being up,Positive
724,only one chance counts,Negative
725,very clear sir thank you,Positive
726,are babu e situation okka a p lone vundi ani cheppu edo country mottam vundi annatu chebutunnaru e lekkalu anni evadike kavali a p lomatrame ilahi situation vundi ani janalake teliyali,Negative
727,"if the people still have wisdom, they will elect a good government in the next election",Positive
728,"tughlaq chooses the room, a chance is a chance",Positive
729,not only in ap even in chhattisgarh (powerful state in power generation)also collect this much not to worry,Positive
730,nice explanation,Positive
731,"they have been paying the current prices for the cheap liquor that they drank before, sir, no matter how many collections they have made, are there any profits or losses?",Positive
732,why is gst not being collected on current bill sir since when will it be collected sir,Negative
733,2019 election gambling,Negative
734,this is more than the debt and interest should be borne by the people,Positive
735,"if the fan rotates too much, sir, if it is blown, the bill would not have been so high",Positive
736,adani is building the country,Positive
737,the electricity bill will be 300 or 800,Positive
738,listen properly to this video of babu and modi on ae piccha,Positive
739,"if people aspire for free schemes, the governance will be like venezuela and sri lanka",Positive
740,"in bangalore, 190 units received a bill of 2120 and the same units received more than 1500.",Negative
741,even bbc joined our clan and started spreading false propaganda,Negative
742,yes sir unit rate covers all charges it's unfair,Negative
743,210 units and received a bill of rs 1144,Negative
744,that's why modi boy daya banned bbc,Negative
745,tell me about your news is how you cheated the government without paying tax,Negative
746,a mental madman has always been the cm,Negative
747,same situation in telangana,Negative
748,karanam jagan anna freee freee policies,Positive
749,"all peoples should switch to ""solar power"".",Positive
750,why did they buy coal from aus?? yo help adani? this is ridiculous mockery bulshit,Negative
751,420 jagan gadu,Positive
752,badude badude badude badude ravali jagan povali jagan,Neutral
753,why don't they file cases in court?,Negative
754,"in the unit charge, all types of expenses are included in the profit. again, these other six types of charges are not gutless, how much fraud, how much he is sucking people's blood.",Negative
755,that's it,Positive
756,ap lo andariki inks pension icheyandi give me 2500 rs food oil i will go to ocean to catch fishes and forest for hunt… earning money to pay taxes current bill and traffic challan start pension from 1 year old,Negative
757,our house receives 1400 hundred from 400 per month.,Positive
758,save ap from jagan,Negative
759,jagan is a big breeze,Neutral
760,embarrassing,Negative
761,he said that govt does not drink power and does not grow anything,Negative
762,eye opener,Positive
763,the people should be treated well,Positive
764,everyone who voted for bjp should go to chavandi adaini with shame,Negative
765,jagan worst governance,Negative
766,modi avinithi datthaputhrudu jagan modi chesthuna avinithi garabham valle jagan ella chedipoyadu modi ki kappam kattatam kosam jagan anni bills penchuthunar andhrapradesh nasanam modi pantham,Negative
767,government has not got money so they suck our money,Negative
768,modi & how it happens to them,Positive
769,double pitcher,Positive
770,good information,Positive
771,expenditure has increased a lot and income has stopped there ninety nine percent people have to bear the welfare schemes given to one percent of the people and the condition of those who are educated is still poor without jobs.,Negative
772,put it as tdp not bbc,Negative
773,we don't want adhani's cole how modi ordered on purchasing of adhani cole its very wrong how modi government favored to adhani we think it's bjp government is completely currepted government how bjp government put burdening on people we are quation to bjp leaders are your government working for adhani and ambani' or indian people? we are shying we hate bjp,Negative
775,"after this tughlaq came, the state became poor",Negative
776,"up 2024, jagan is trying hard to make india disappear from the map",Negative
777,when you are getting freebies govt need money to fill the promise,Positive
778,"no matter which government comes, the common people will not be spared these hardships. wrost politics",Negative
779,our taxes at tadepalli palaceenjoy,Positive
780,current bill lo a--z anni tax lu vestunnaru kadara mukku pindi vasuluchestunnaru ap prajalaki aaa maatram jaragaali leka pothe balupu ekkuva ippudu annadi ra jagan anna ani,Negative
781,"he said that it is not good to talk about what was used once and now what is meant by joining govt job and getting salary during the duty period and taking pension more than salary even after retirement means if you serve below 40 years and pay more than salary even when you are close to home then in future government employees will get salaries and pensions. there will be a situation where the treasury is not enough, that's why cps has been put in place, but we have to get what we need",Neutral
782,"let's see if the election is coming, be ready, there is modiji, there is electric shock for both of them.",Positive
783,telangana government also collecting same amount,Negative
784,good sir,Positive
785,i have not been at home for 20 days but i have received 700. there are two fans and three led bulbs at home.,Positive
786,correctly said sir,Positive
788,"people have to pay the country's debts forever, it is ap electric arrears, state bank arrears, soon there is a situation where coal will also be imported, charges are likely to increase, if the population of the country is high, the financial debt will also be high.",Negative
789,ok uneducated person is a lecturer in school who gave me a paper,Positive
790,next cm jagan next current charge verea level abba,Positive
791,burglars in the central governments of robbers in the state --------,Negative
792,not only in ap but also in our karnataka from april 2023 electricity charges have doubled.,Positive
793,"give him a meter who works in the government, he will take it with him wherever he goes, wherever he goes, and then if he does the fitting, he will have to pay a fee to the government.",Positive
794,corrupt rules biggest problem in india,Negative
796,ayya ​​pacha channel ka lo chudandi current bill 200% perigindi oke slab petaru unit ki 7 5 rs arriers lekapoina arriers ki 350rs charge chesaru mosam daga kutra by congress govt ipidu water bill double chesthunaru,Negative
797,the government is living on people's money and is using this money for welfare schemes,Positive
798,people think chase time leka y bechousse he gave al free,Negative
800,people still need to know,Positive
801,worst government,Negative
802,it will be like this if the administration is not able to do it,Positive
803,worst jagan government,Negative
804,bbc is english andhra jyothi,Negative
805,current charges peragadaniki karanam modi and adani not cm of state desham lo coal unchukoni kuda kavalaney coal shortage chupinchi adani ni develop cheyyali every state adani dagrey coal konali ani rule pettaru vadu australia dagra coal takkuvakey koni manaki ekkuva rate ki ammadu ippudu em teliyanattu e bjp party wrong propoganda chestundhi kevalam adhikaram kosam intha nechamaina panulu chestundhi e high current charges kevalam non bjp states loney unnayi prajalu e panikimalina news channels kaunda vastavalu telusukuntey manchidi sudden ga appullo unna adani richest person ila bjp andathoney ayyadu andhuke vadiki rss kuda support chestundhi funds istunnadu kabatti,Negative
806,only then you need to understand what badude badude means,Positive
807,bbc is telecasted from etv so against jagan,Negative
808,waste cm in history,Negative
809,we went to fight with our shoes and won,Negative
810,people are being fooled these days by telling people whose benefit is hidden behind the slogan haha ​​(godse movie),Negative
811,file a case in court,Positive
812,so it is understood that what up govt has done is not what central govt has done,Positive
813,that book,Positive
814,free ga power isthe ilane untadi state govts ok free ga subsidy uchhi mari power supply compnies ki payment cheyykapothe power supply communities close chstharu anduke govt free ani cheppi malli mana daggare thesukuntunnaru,Positive
816,jagan failure cm,Negative
817,in andhra pradesh not nai but also in karnataka the current bill has increased tremendously regular 700rs vachaidhi present now congress is free 2000s how come they are cheating people vastprabhutva memu in bangalore we get 2000 per month current bill 3 light 1fan 1tv 1 fridge chala mosam,Negative
818,"every one is talking about morality and talking about whores. mahatma gandhi and swami vivekananda think that corruption exists in every house, in every village, in every country. what kind of morality do we live? jagan came from 2019. before that, corruption has always existed in our country. what did they do? everyone just talks about morality on youtube. it would be better if they go out and put it into practice. their parents' businesses are real estates and collect money unjustly. stop the chatter babu if you really have that guts go on the road and do a dharna bring a new revolution everyone will be happy but if you want to do something about a party you don't like who can't do anything",Negative
819,"hello bbc if you want to take a loan from the central govt, ap govt agrees to increase the electricity bills. due to taking a loan, the cost of paying off the debt will increase. once this happened also during chandrababu naidu's time (according to the conditions of the world bank). because state is not development. central and state govt are charging more charges for goods that generate more income, but if charges are low for anything, the cost of all kinds of goods will be at affordable prices. jai bharat, the looted wealth will remain in the hands of a few people. population is economic resources for some people",Negative
820,eyes thriipincharu,Negative
821,good clarify,Positive
822,"this bill is free power for the builder, this bill is ladhu for sc st people",Positive
823,this is too much bro bbc is best awerness youtube,Negative
824,super explain saru,Positive
825,the free money given is withdrawn in the form of current bills,Negative
826,ap gorrelara experience your sin in 2019 is not small,Negative
827,"build for adani for the nation, come blind devotees",Positive
828,yerabba paytms gaallu naanyamaina current ani okadu ac lu vaadithe raava ani okadu padhakala kosam ani okadu mana tadepalli paytm gaaraithe abbo inka cheppakarle current bills money tho pedhavallaki money vestham ank cover chestadu,Negative
829,good explanation,Positive
830,tigers and lions are very hungry and these are common under their rule,Positive
831,"every time the electricity bill comes, i feel like cursing the fan",Negative
832,"if you vote for chasht, it will be like this. chasht people are good in andhra pradesh, but our telangana is better.",Positive
833,middle class means below adani rich class means above ambani,Positive
834,why transo companies are buying imported coal for higher price? is it better quality than the domestic coal?,Neutral
835,sir vela ki velu pay chestunappudu true up foc chages mha iytea hindered loo untunae adi kaadu samashya power bill pergadaniki main reason units alaa yakkuva yanduku perugutunne same home appliances unnappudu units every month ki yanduku perugutunaae edi meter maaku fix chesi remote akkada undi kaabatti units elaa set chestunaaru emo doubt gaa undi,Negative
836,people will ground tdp if bbc etv tie up stories are explained correctly.,Positive
837,"if the people are not willing, who will give from the job?",Neutral
838,"if we don't bring down this incompetent, we will all perish",Negative
839,a common man has to bear such things as the rate per vote increases,Positive
840,by giving 200 units free,Positive
841,"who is bokkali like that, my aunty, i can tie it, those who can't tie it, those who voted for uncle jagan, put the stick back",Negative
843,naaku ee rajakeeyala tho sambandam ledu nenu hyderabad lo unta naa vote kooda manikonda lone undi naaku prathi month 1000 - 1200 vasthadi ee month 3000 vachindi kakapothe theliyaka nenu prathi roju 18 hours ac use chesa kabatti vachindi anukunna mee lanti medhavulu cheppaka ardham aindi kcr jagan valla 3000 vachindi ani down down jagan & kcr jai cbn,Negative
844,indulge in the power of dammunnodu app that reviews pappa,Positive
845,battai seems to burn very well,Positive
846,always the best info,Positive
847,ys jagan mohan reddy bellam tax,Positive
848,what is built by the people is what is lost by the people,Positive
849,this modi government is forcing people to buy coal at a higher rate and make them more profit.,Negative
850,big stone in pichodi's hands,Positive
851,"any politician can open up all the debts with all the assets. when jagan votes, we should think about it.",Negative
852,77 thousand to btec students 500 curent bill gola endira bbc in 2024 bbc will ban you this is british tv,Negative
853,do not misunderstand pawan current to mean wind current,Positive
854,"due to lack of unity in all the other parties of the original congress, an evil force called bjp has arisen and it is doing such evil rule by placing its child evil forces in some states, so if the big evil force is buried in the upcoming elections, the rest of the child demons will be destroyed automatically.",Neutral
855,what is electricity pawan electricity sun rays electricity hydro electricity what happened to all these hydro electricity solar power plant rehabilitation is our responsibility,Positive
856,why modi allowed adani to sell that much high cost coal from australia it's clear scam from modi adani rss looting indians money crazy modi,Negative
857,"buying coal from adani at a high cost is to satisfy modi, in which central and state governments are two thieves.",Positive
858,main stream media wouldn't expose it because most of them are big scammers getting money from politicians,Neutral
859,"""badude",Negative
860,kick it,Negative
861,"if our kamma people come, he will reduce it.",Positive
862,"even in karnataka, 4 times perigai offi should also be shown",Positive
863,evil governments for greedy people,Negative
864,chetaka ka pote resigned and died at home and destroyed the state of andhra and why did they increase the price of liquor dog,Negative
865,good analysis thanks to bbc,Positive
866,should remove vote right to who ever not filing taxes and taking freebies,Negative
867,karma ra babu,Positive
868,great topic to discuss literally no one can solve jai bjp jai congress jai ycp jai tadap jai janasena jai ​​hind!!,Positive
869,"elections are ahead, but now if money is also available, it will come in handy for the expenses",Positive
870,6 5 what is the point of canceling renewable electricity and buying thermal (coal electricity) at rs 20? idhe cabolu is the best example of reverse palana tughlaq rule,Negative
871,"whichever government has come, they are now telling us which chargers are wrong in the cabin time.",Negative
872,democracy is gone and now everything is the kingdom of kings and they rule for themselves,Positive
873,that's why the people of ap should change the government,Negative
874,"debate on a larger scale? except your channel and tv5 maha abeen, we have not seen such a huge discussion in other channels",Positive
875,"everyone needs electricity, they don't know how electricity is generated, many electrical companies are bankrupt due to debt. banks finally write off the debt of lakhs of crores of rupees and take that debt in some form from the public.",Negative
876,is it appropriate to train andhra before the free electricity stop?,Positive
877,"if you read the comment box, yitchap govt will commit suicide",Negative
878,caused britain to go bankrupt,Negative
879,"ray, all these things are also in our telangana, we are getting the same bills, but here the media has become a pawn in the hands of kcr.",Positive
880,"for that, buying 19000 boxes of coal which can be found at 8000, it is our blood, have you ever seen a prime minister who loots more",Positive
882,"shameless people of andhra pradesh, my condolences to you people of andhra pradesh.",Negative
883,even in telangana electricity bill almost doubled,Negative
884,electricity charges tho saripodhu appulu chesi biryani panchadu ga daniki next 5 years lo get ready to pay more more house tax road tax registration tax building tax etc etc etc ap prajalaku panduge panduga jai ​​tuglak,Negative
885,ycp govt is a rift among the middle class people,Neutral
886,jalaga is the reason he is sucking people's blood,Negative
887,feel the heart beating well,Positive
888,reason is jagan who is a money sucker,Negative
890,smart meter ani chepi current metersni manipulate chesthundhi government government control thone meters panichesthunaiye thappa current akalunnadanni batti kadhu,Negative
891,jai jalaganna,Neutral
892,very worst bill's,Negative
893,"did you vote for the fan? if the fan turns on in the house, the money will not be paid",Negative
894,not only in up but also in karnataka,Positive
895,"he can rule, but if he is given office, if this tughlaq comes again, he will pay 10 rupees per unit.",Positive
896,"it is the same in all the states, what should we do, those who post comments here, can you see other states?",Negative
897,above is modi's government for gautam adani and below jagan anna's government is rallying people for him.,Positive
898,sir file a pill in the court for public interest,Positive
899,it is known that we will lose anyway,Positive
901,they said that electricity is free up to 200 units! these poor people have no use for such people! lucky ones,Negative
902,waste candidates ruling lo unte inthe mari lakhs of crores of debts and development zero employment ante 5k volunteer jobs anthe abbo chanthadantha undhi veella dharidrapu management,Negative
903,is there such a thing in the electricity bill? where is the justice?,Negative
904,no eating charge bathing charge i'm happy,Positive
905,mad tughlaq who ruled without a capital cm,Negative
907,telangana has also increased the electricity bill,Positive
908,this is a crooked government,Negative
909,the person who looted lakhs of crores and went to jail was given the power. he who is addicted to looting is like a lion who tastes blood and will die even if he dies but his looting mind will not change.,Positive
910,"poyam cheated, gone cheated",Negative
911,the fan's bills are a huge waste of money,Negative
913,jagan please stop free schemes except old age pension and development the state,Negative
914,this is called tughlaq rule,Negative
915,this is what happens when a corrupt person leaves the development to the winds and enthrone someone who thinks it is enough to fill his pocket.,Negative
916,can the electricity bill be increased on the unit? is it because of using more hours? how much less can tdp telugu bbc get,Neutral
917,every mistake should be made to bear the consequences,Positive
919,"jagan reddy who is giving chocolates and giving necklaces, last month our electricity bill was 224 /- this month 404 /- does not make sense.",Negative
920,another good one for us@ap people thanks to bbc telugu,Positive
921,all the people of andhra went and said jagan,Positive
922,"if they give 1500 2000 votes, we will say that, when will their time be democracy?",Negative
923,they are so bubbly,Neutral
924,governments paisa vasool system from people's,Positive
925,tughlaq's rule must bear the ups and downs badudu,Positive
926,'badude badudu' is now known as jagan,Positive
927,"all people have understood that your channel is green, instead of background red put it in yellow.",Negative
928,"they gave a stone to a madman, but he didn't know who it would hit",Neutral
929,enjoy badea badu voted,Positive
932,badu badu psycho badudu,Negative
933,govt jobs reservation for farmers children only for small scale farmers,Positive
934,totally fraud govt,Negative
935,chandrababu naidu is poised for a landslide victory,Positive
936,"until then, they are giving it to the farmer's account, they are giving it to the poets.",Neutral
937,"jagan mohan reddy gave input subsidy to how many people, if there were 1600 1600 farmers in our village, which 60 people would have lost?",Negative
940,rythu bharosa chachi mosam guru,Positive
941,9500 came,Positive
943,shouldn't we think about the time when so many schemes like this are being given in the state during the difficult time of corona?,Positive
944,sir jagan siriki hatesof who is doing good for the farmers by adhering to his word that the spread of corona has completely reduced,Negative
945,2 thousand rupees for 1 acre we don't even get insecticide we don't want any money but give us support rate for the crop grown sir,Negative
946,"actually, you said that you will give 12500/- to the farmers at one time.",Negative
947,this cm is doing completely injustice to farmers,Negative
948,what swami you are giving only 7500/- (modi ice giving 6000/-) but you are giving a buildup that you are giving the total amount of 13500/-,Positive
949,great cm and great jagan,Positive
950,it's very useful to farmers,Positive
951,our kcr does not like us,Neutral
953,sir you are great and efficient c m jaganmohan reddy sir,Positive
954,"the farmer is not the king, but the situation is not the same today",Positive
955,10 000 per acre investment assistance would be good as input subsidy has not been given so far,Positive
956,"my friend is not a farmer, but he is a farmer from barosa.",Positive
957,jagan is very apt for ap people give freebies and they will not care about anything else,Positive
958,thank-you so much sir,Positive
959,mr cm with deficit budget 1st try to meet the state immediate requirement s 2nd state development 3rd free distribution,Negative
960,god bless you jaganna,Positive
961,nee bonda brosa matalavarakera neeprabhutvam,Negative
962,it would be good if the fourth and fifth installments of farmers' loan waivers are also paid,Positive
963,you have really helped us in corona time jai vissar,Positive
964,what a credibility all schemes time to time through bank account hats of cm sir,Positive
965,"if the kangaroo poets leave the farmers, their lives will be changed",Positive
966,"swami, if you think it will happen",Negative
967,janalanu lazy cheyyakandi sir social schemes like ration money help e government ruling lo unna istayi ptajalaku dabbulu panchutey otlu vastayi mana pani ayipoyindhi long vision leni governments ryrhulaku seeds quality vi ivvandi bank loans proper ga vachela chudandi gittubatu dhara vachela try cheyyandi antey gani money ichi ptajalaku lazy laga tayaru cheyyakandi sir,Negative
968,no farmer assurance no pichuka al ar debits,Negative
969,"it's been a year since the dds were tied to the farmers for the drip equipment, so far the material has not been supplied to them. the farmers are thinking that it is too much.",Neutral
970,fraud,Negative
971,best cm,Positive
972,farmers should be subsidized as they have nothing to harvest farmers have no interest so far farmers' assurance should be applied up to five acres,Negative
973,super sir,Positive
975,how much will it cost?,Positive
976,"during the padayatra, i have given you some kind of schemes while walking hand in hand with you. he gave me that letter. i am asking for a three-wheeled motor cart for my friend.",Positive
977,"if all the debts are shifted from this state, i will be sidelined in the future",Neutral
978,let's wake up zohar isr,Positive
979,sup cm jagan anna,Negative
980,"farmers are not happy, sir, what the farmer needs is insurance. those who took crop loan in the bank did not get interest subsidy.",Negative
981,to the former like god sir,Positive
982,good decision,Positive
983,the center is also supported by chupeddi kim,Positive
984,jai jagana,Positive
985,pawan kalyan's discussion on this topic has now become a highlight,Positive
987,good job jagananna but volunteers are not need,Positive
988,tdp govt vaste ministry lu teseyali,Positive
989,super andi babu,Positive
990,nuvu ante money ivvaleka jobs ivvankunda new concepts pettakunda malli jagan sir ni antunnavu nuvu em chesavu em new pettavu old schemes thappa nee antha vennupotu wit ledule jagan sir ki papam,Negative
991,"even if you do nothing, you will fall on him and cry da ke",Negative
992,"abcds do not come, jagan gave joro marks job to secretariat employees, no one is useful.",Negative
993,all that is there is to give it,Positive
994,janmabhoomi committees are the jockeys of neekharma bhoomi,Positive
995,you want a job for the cm and you have to live like this.,Positive
997,my sons like you are a waste,Negative
998,orei bolli ga don't understand what to hit you with,Neutral
999,"orey bolli babu, you can't do it, blame someone else",Negative
1000,i hate this new sachivalayams,Negative
1001,ysr party office in the villages,Positive
1002,13 members of the secretariat work in the office,Positive
1003,did you build the buildings built by the people with their money? why did you come?,Negative
1004,"how many buildings have you built, erri puka, you have built with our people's money, you have painted water tanks on all your yellow buildings.",Positive
1005,the first step to communism,Positive
1006,"who asked you to give birth land to you, should you go around your leaders",Positive
1007,chandrababu will beat the secretariat employees,Positive
1008,"swami, show me the buildings where you built them",Positive
1009,you can't give me a job for a living but you can talk,Positive
1010,bolli babu nee fights apuuuu,Negative
1011,"orei bosidiki, you are enough",Positive
1012,gram secretariat is a good concept,Positive
1013,present probation declared he is male,Negative
1014,"that fate will come to you soon, babu",Positive
1015,neeku kullu chandrababu 1 5 lacks staff ki 30 velu salary thosachivalayam employees ki jeevithannichdu nuvvu varimeeda satire vesthunnavu nuvvu emipeekavulast 15 years intikivolenteers dwara pension ippinchava musali nakka,Negative
1016,nice speaking jai tdp,Positive
1017,cabin chandranna chandranna jayamu jayamu chandranna unless swami gives jobs,Positive
1018,1 12 lakh jobs ichadra pulka you cheated that you will get a job at home,Negative
1019,cat's chin,Positive
1020,"fur, what are you looking for, milk?",Positive
1021,no money,Negative
1022,ask to make contract teachers regular sir,Positive
1023,shame on you for talking like this sir,Negative
1024,waste worst concept,Negative
1025,i have chandra babu,Positive
1026,crying brand ambassadors,Positive
1027,cbn,Positive
1028,"how many jobs did you give when you were ruling, bolli nayala",Positive
1029,"s family, you can't tolerate cabin jagan, jagan is powerful than modi g",Positive
1030,when the secretariat comes works chala fast ga jarugutunay india wide implement cheyachu,Positive
1031,40% yrs ruling em chesav yavadiki use hyderabad antav 30% chestey 100% buildup dengutaru ruling lo untey nenu kuda antho kontha develop chestanu that is not great thing oka common man yadhaga daniki nuu em chesav chepu cbn,Neutral
1032,jagan ruling is 100% better than cbn ruling,Positive
1033,secretariat in very food idea jagan,Positive
1034,it means you are a west fellow,Positive
1035,babu was talking,Positive
1036,this babu won't even get 23 seats this time,Negative
1037,ap ap ap ap ap cm jagan gaadu donga nakoduku lanjjanakoduku jagan gaadu donga 420 420 ap ap cm jagan gaadu donga nakoduku lanjjanakoduku jagan gaadu donga 420 420 ap cm jagan gaadu donga nakoduku lanjjanakoduku jagan gaadu donga nakoduku lanjjanakoduku nee amma dengganni jagan gaadu donga nakoduku lanjjanakoduku nee amma denggani jagan gaa neeku undhi,Negative
1038,"chandra babu garu, the service you provided has fallen somewhere on the employees' road, sir, please heal it a little",Positive
1039,40 years industry me life style best sir from 2 acres to 1 lakh acres,Positive
1040,sir you also want our office certificate apeetham,Positive
1041,"if the state is in debt, they are building bow buildings, sir",Positive
1042,arey koja sebum ga nv ke saav ra lucha nakodakaya,Negative
1043,burn marks,Negative
1044,"orey colors started politics, you are anna canteens, water tanks and everything, aren't you chandrababu naidu?",Positive
1045,pora yellow locust,Positive
1046,the big box is these offices,Positive
1047,tell me your opinion on the secretariat employees sir,Positive
1048,"but till now you have spoken the truth that you are the only one who is responsible for the mistakes that are happening now. shabhash chandrababu, jagan has nothing to do with the good or bad things that happen. ok, now you have admitted the truth.",Positive
1049,the biggest gongau of all,Negative
1050,hai sir tdp,Positive
1051,"whoever built it, built it with people's money",Negative
1052,these jobs are recruited for sachivalaya i couldn't understand how they can be converted to department jobs if they had declared in the beginning many unemployed persons will have written the exam are they lollipops department tests should be recruited only by announcing tests openly not indirectly many unemployed aspirants will be lollipops how are they accepting this unethical recruitment because of this their will be no stright forward jobs for another 10 years unemployed people awake before they put lollipops in your mouth,Negative
1053,don't the bus wear your party color when you are in office?,Negative
1054,"do you know how many people are benefiting from the thief babu's secretariat, how much corruption has reduced, you are a big thief.",Negative
1055,"chandrababu naidu has said in his own words how much faith he has in the voluntary system in the secretariat. chandrababu said in his own words that the volunteers of the secretariat go from house to house and rape lonely women. now he has taken a leave of absence. now if jagan wrote in andhra jyoti in his party magazine that how jagan will trouble the secretariat employees and now he gives some statement that he will do good for the secretariat employees, will people believe him? there is no one so opportunistic.",Negative
1056,"tell me my son, i will beat you",Positive
