,Comments,Emotion
1159,anna very good,Positive
1160,"mr. chandrababu naidu, politics is good for you",Positive
1161,mr. chandrababu naidu you are service politics,Positive
1162,super anna,Positive
1163,ji jagan,Negative
1164,vote for note and cheat ntr vennupotu what history of chandrababu what sir what a joke sir stop comment ys and jagan power is not own wait and see,Negative
1165,jesus,Positive
1166,jagan tiger,Positive
1167,bio,Positive
1168,jai chandra babu naidu,Positive
1169,çg,Positive
1170,this is a fight,Positive
1171,cbn 420 is not available,Negative
1172,waste chandra babu,Negative
1173,yuh,Positive
1174,born,Positive
1175,yes aar is so nice supper jagnn annaya spare,Positive
1176,comedy jagan,Positive
1177,where are you?,Negative
1178,cc,Positive
1179,"are you speaking the truth, jagan, you are your s",Positive
1180,hha,Positive
1181,rc,Positive
1182,"don't you be a poor boy, oh chandrababu, don't you remember the words that great man ysr said to you in the past, son of a hermit.",Negative
1183,"babu, biscuits are enough for those people",Positive
1184,dhonga jagan musukora,Neutral
1185,in,Positive
1186,i like,Positive
1187,neck,Positive
1188,@,Positive
1189,"you don't talk about faith, cabin",Positive
1190,very bad thiruttu cm,Negative
1191,thief jagan,Negative
1192,jagannaku je,Positive
1193,rd,Positive
1194,"<a href=""https://www youtube com/watch?v=gcrxv40gtme&t=3m36s"">3:36</a> set as actor go in movie not in assembly",Negative
1195,jagan has always crime mindset,Positive
1196,wish you marriage chandrababu,Positive
1197,jai jagan's elder brother,Positive
1198,"<a href=""https://www youtube com/watch?v=gcrxv40gtme&t=14m27s"">14:27</a> eppudu yenta jagan anna tractor load ni government lo ?",Negative
1199,jagan the leader opposition aina position aina,Positive
1200,sri sammakka sarakka ((9704783053))jyotishalayam astrology can tell you any problems by looking at your face health peace lack of peace of mind can solve each and every problem,Positive
1201,let's wake up and bring isrcip,Positive
1202,mari nuv jagan anna,Positive
1203,abba,Positive
1204,ppp0pp0ppppppppp00pppppppp0ppppppp0000pp00p00pp0pppppppppppppppppppppppppppp0ppppppppppp0pppppp0000p0000000000000000p00,Positive
1205,great cbn,Positive
1206,h no,Negative
1207,look at the buildup that is telling the story of this year,Positive
1208,jagan mohan reddy your from tamilnadu please,Positive
1209,jagan mohan reddy,Positive
1210,nuvv vachi am pickav ippudu money waste state development ledhu free ga dabbulu istadu ila ivvadam aa bochu gadu kuda istadu niku dhammu eunte cbn laga development cheyyi state ke appudu nuvvu mogodivi 1 capital ke dikku ledhu malli 3 capitals anta mr reddy neku oka,Negative
1211,abdul rahman,Positive
1212,abdul rahaman,Positive
1213,jagan is waste less,Neutral
1214,pappu,Negative
1215,bollinaiduveedu,Negative
1216,ysr ninu kalisena ani ostadi lion dandalu pettadam kalumida prasadam odadu only okay namasakaram daniki vidi vadanalu otaya okay mata okay dadamu prajaliki kosada same,Positive
1217,æñdasi mike vachidi na nethi deceive the girl,Negative
1218,anyone watching in 2020 dec ?,Negative
1219,z,Positive
1220,answer,Positive
1221,on,Positive
1222,jai jagan from muslims,Negative
1223,"if you are righteous, no matter how many births you take, you will not become cm. now tell me whether you are righteous or put your hand on your heart.",Negative
1224,"chandrababu naidu is talking about ethics. he should be ashamed. watch a video of your uncle ntr speaking. sir, i was with you in my birth.",Negative
1225,unfortunately kodela garu is not there to listen to babu's lies now and babu's sister has to watch the reply on etv.,Neutral
1226,i read tsbn,Negative
1227,sri sandham trees teak trees malabar neem trees buy contact 9440768897,Positive
1228,smahendrareddy,Positive
1229,maa god jagan anna,Negative
1230,the cat's chin is big,Positive
1231,chandrababu naidu for tdp 0000000000 chandrababu000000 in 2024,Positive
1232,do 2nd cen4th same for degree students sir exams vadu corona they are suffering a lot,Neutral
1233,"hey jaffa chandra babu, why are you still alive, don't you shut your mouth, don't you shut your mouth, jaffa, m pickup, you jaffa",Negative
1234,jai kaban 2024 cum,Negative
1235,chandra babu once badvel ra ra lofi,Negative
1236,"ray babu, why don't you throw all the loafers on wednesdays?",Negative
1237,gagan anna only king,Positive
1238,are jaggu,Negative
1239,who is after seeing jagan cm,Positive
1240,thieving photos,Positive
1241,bokka madda vissar jagan in up seam bleaching godu,Negative
1242,we want cbn for the development of ap visionary like cbn are rare and lucky to have him as cm ilanti yekili na kodukulani ardika neragallani tagina gunapatam nerpali,Positive
1243,arey akhilalria was in ycp,Negative
1244,"<a href=""https://www youtube com/watch?v=gcrxv40gtme&t=1m17s"">1:17</a> neethi nijayithi naaku thelisi ive pedda jokes emo nee janmaki",Negative
1245,coming soon cm jagan,Positive
1246,a single male,Negative
1247,i'm a big fan of jagan he is good administrator,Positive
1248,"they are shouting that this is our party, our party, there are only counters, there are no problems of the people",Positive
1249,who were watching this in the corona,Negative
1250,i am from tamil nadu super anna,Positive
1251,jai jaganna king of ap,Positive
1252,like it who are waiting next scene after chandra babu speech,Positive
1253,"that's why the people of anna have crowned the good, great jagan",Positive
1254,orey jagan chandra babu naidu garu neeti leni rajkeeyanayyakudu antunnav sare aeethe dhammunte proof cheyraa nenu okasa jailki pampinchadu ga mi thandri rajasekhar reddy garu adhikarom lo kuda chandra babu naidu garu thappu chesadu ani proof cheyaledu nuvvu kuda proof cheyyaleka orke pukarlu puttisthinnav ippudu adhikaramlo vunnavga aeethe proof chesi matladu,Negative
1255,to y,Positive
1256,"from <a href=""https://www youtube com/watch?v=gcrxv40gtme&t=13m25s"">13:25</a> to end same repeating",Negative
1257,jagan speech super we always need this kind of aggressive leader,Positive
1258,ore nayana maiagadu sibin,Positive
1259,superjaganmohancm,Positive
1260,etv didn't make a video then and why didn't they make a video of what happened,Negative
1261,nice speech,Positive
1262,rajkiyam chandrababu with caste madness,Negative
1263,super cm ntr,Positive
1264,jai chandra anna,Positive
1265,one and only my favorite politician hatsap sir,Positive
1266,no bonda cbn,Negative
1267,anna the chase,Positive
1268,cm sir(jagan),Positive
1269,super sir,Positive
1270,jagan got a little shiver,Positive
1271,cbn is big 420,Positive
1272,orey jagan has put chandrababu's name in the assembly and put it in public,Positive
1273,tv9 live,Positive
1274,duper,Negative
1275,"son, sons, etc.",Positive
1276,plz support sir i am in andhra pradesh i am coming kerala sir plz help me 89706 33191 plz,Positive
1277,kabin-garu is playing a game of religion with a sneaky look,Positive
1278,i know up to date that jagan will become the cm if he chooses no live assembly session,Positive
1279,i watching 10 5 2020 for jmr sir,Positive
1280,the rice bowl is crushed.,Negative
1281,420 lofargadu bonkutaventra vedava,Positive
1282,andthen,Positive
1283,ha ha ha,Negative
1284,we want cm like him to karnataka,Positive
1285,best excellent cm jagan sir andhra,Positive
1286,jmr tamil nadu coming ple sir,Positive
1287,jai jagan hats up ur speech,Positive
1288,i want good news,Positive
1289,paka ysr will be cm from 10 years,Positive
1290,jai jaganna cbn donga,Positive
1291,wow top super,Positive
1292,yes super sir chandrababu,Positive
1293,jai tdp chandrababu naidu cm 2024,Positive
1294,lavada chonchlude ra speaker m speaker ra babulu mana mula lak one has no discipline they behave link goats in assembly,Negative
1295,honour to jagan sir,Positive
1296,jahan cm super very very very nice,Positive
1297,that's why the result was 2019,Positive
1298,"jagan, you are a super brother",Positive
1299,who are here in april 2020,Positive
1300,how do you talk about guts for the lentil room but not for the chembu room?,Neutral
1301,i am enjoying it more now,Positive
1302,por kaban luchchan,Negative
1303,"the one who listens is erri pappa, the plane went down the street and that is what you are saying. koja yadav has no sense. if the administration does not come, shut your mouth and sit down and spread rumors about those who do that. jai ysr jai jagan.",Negative
1304,jaganna super my hero jai,Positive
1305,psychology,Positive
1306,k beeresh k beeresh,Negative
1307,yes you are correct chandranna chori jagan,Positive
1308,ysr better kaani ii jagan entabbaa erri bagulodilaa pravarthisthdu ysr knowledge ledu jagan ku silli fello laa pravarsthisthunnadu professional mentality kaadu ysr ekkadaa jangan ekkada assalu ysr poolike ledu veedi endukocchadoo ento anuvu chendrabaabu thappulu baita pethunnavu nuvvu emo peekaoo adi cheppu jangan oo ?,Neutral
1309,"it's a pity, how is deeskha able to cope with them? chandrababu is better, vissar is also better, but jagan doesn't work.",Neutral
1310,jagan sir super,Positive
1311,legislature,Positive
1312,pora wash fellow jagan is nearing the day when people will kick me,Positive
1313,jai ntr jai chandra babu naidu garu,Positive
1314,written by jaganna anna from karnataka,Positive
1315,jai jegan sir,Positive
1316,peace be upon you,Positive
1317,julia,Positive
1318,jagan ap best cm,Positive
1319,jagan anna was rocks always,Positive
1320,basharat khan,Positive
1321,babu gadi's work is over,Neutral
1322,wow your great jagananna,Positive
1323,papam bolligadu,Positive
1324,u r great leader,Positive
1325,supper,Positive
1326,loafer speaker,Positive
1327,30-03-2020,Negative
1328,waste fellow jagan,Negative
1329,nice discussion,Positive
1330,subject,Positive
1331,jagan anna nayakathvam vardhilalee jai jagan anna jai ​​ysrcp,Negative
1332,"whatever you do, whatever you wake up",Positive
1333,don't sit ray the cat's chin musko,Negative
1334,"why is jagan angry? chandrababu doesn't want development of the state. tdp has no address. all he wants is 29 villages around amaravati. from now on, no matter what election comes, ycp's victory is not guaranteed. except for 29 villages, you have no loss. be patient.",Negative
1335,funny,Positive
1336,supper babu,Positive
1337,from tamil nadu andhra cm is the real hero,Positive
1338,so he committed suicide,Negative
1339,raja seebum is a dog,Positive
1340,cbn new mall cm kalewra chu,Positive
1341,cm jagan mohan reddy congratulations please come to tamilnadu we are waiting for your welcome,Positive
1342,greatest leader in history in india mr chandrababu naidu sir valuable leader,Positive
1343,janesana,Positive
1344,my grandfather really chanted ramanaidu,Positive
1345,jai jaggan anna,Negative
1346,"<a href=""https://www youtube com/watch?v=gcrxv40gtme&t=3m05s"">3:05</a> true facts are clearly depicted in 2019 elections",Positive
1347,i love jagan sir from tamilnadu,Positive
1348,babu is super,Positive
1349,jagan is a sympathizer if he doesn't give the details of the farmer and then the sheep will believe in the butcher. it is true that jagan is the cm.,Positive
1350,boat stand 100 / ciriminala,Positive
1351,jagan ur family antijam grandfather ur frother what happened relinenc sony gandi now jagan 100' '/'criminals jagan valla state go down,Negative
1352,ur ciriminala jagan remabar frist,Positive
1353,y this much in like see what a man not only man a kind hearted live god,Positive
1354,h,Positive
1355,"thief langa kodaka, they are gone, you are a backbiting thief",Negative
1356,anyone now?????,Negative
1357,jai jan,Positive
1358,the beauty of the opposition leader is vaisar and jagan,Positive
1359,"jagan, you are super",Positive
1360,"when jagan was in the opposition, kabin threw drops at him",Neutral
1361,good cbn,Positive
1362,yes sir,Positive
1363,thank you sir,Positive
1364,chandrababu was silent,Negative
1365,farmers are your source of suffering,Positive
1366,how much do you know about farmers?,Positive
1367,then this time i started chessavura,Negative
1368,"did you talk about the farmers, tughlaq?",Negative
1369,just talk present ta vedhswa,Positive
1370,talk about the capital why you are talking nonsense,Negative
1371,"shut up widow, how many times does he cry to cover your mistakes?",Negative
1372,"kabin garu, those pictures are ok thief, he has no respect for the poor, he is a poor man, he is a waste fellow.",Neutral
1373,jai cbn you are d best leader,Positive
1374,god bless ycp,Negative
1375,"be that as it may, if our state of andhra pradesh is to develop further, we need to bring awareness among our people",Positive
1376,jagan donga,Neutral
1377,cm jagan is correct,Positive
1378,cm jagan is lion,Negative
1379,"jagan, don't ask me to give up the super.",Positive
1380,jagan dinameke ledar,Positive
1381,it's not your tv,Negative
1382,aare luchcha lanjakondaka you sim ra jai jagam,Negative
1383,cabin naidu nu west my son,Negative
1384,half a hundred thousand,Negative
1385,jaffa kodaka for voting for you because you have ruined the state,Positive
1386,"and why did you tell me, kabin?",Positive
1387,it is said that shiv prasad gari chudatam,Negative
1388,christian jagan said that more funds should be raised for jai church fathers,Positive
1389,i'm from karnataka we want cm like him to karnataka,Positive
1390,east or west!!! babu is best!!!,Positive
1391,twinkle twinkle little star!!! babu is super star,Positive
1392,jagan is vast !!!! babu is best!!!!,Positive
1393,jegan support from tn,Positive
1394,after ysr it's jagan after kcr it's ktr after ntr it should be harikrishna jayakrishna ramakrishna etc how did ncb became cm?????????????,Negative
1395,who iswatching after cm,Positive
1396,babugaru we all love u sir,Positive
1397,fy,Positive
1398,https://youtu be/6mddwogrgky,Negative
1399,"<a href=""https://www youtube com/watch?v=gcrxv40gtme&t=3m39s"">3:39</a> good joke biya",Negative
1400,jai cbn jai jai tdp,Positive
1401,save ap jai cbn,Negative
1402,jail government stop rowdies government,Negative
1403,jail government,Positive
1404,it has a long life,Positive
1405,jaiho tp,Negative
1406,happy birthday to jaga anna,Positive
1407,very good speaking of javan anna,Positive
1408,best actor in ap is cbn his dialogue delivery is like the actor rao gopalarao,Positive
1409,i am from manipur jagan is my favourite chief minister jagan is my inspiration and reformation,Positive
1410,hubd thala jagan love from tamilnadu,Positive
1411,happy bady people's cm jagan anna,Negative
1412,kase study yem karma ra babu,Positive
1413,lo ninu cb ne bamidhal,Positive
1414,haha tiger cat became cabin tiger,Negative
1415,anyone can win if they vote,Negative
1416,@jagan this is nice,Positive
1417,this is nice,Positive
1418,young leader i want you to be more responsible,Positive
1419,more interesting than tom & jerry war,Positive
1420,today date is 13-12-2019 !!! what happened today ??,Negative
1421,my real hero jagan cm,Positive
1422,when will nara be punished for anyone's sin?,Negative
1423,"add a proverb to an argument that has no head and tail, and it is super funny. people jail jagan",Positive
1424,actually i don't understand but i tried to understand your speech sir i am from tamilnadu and we also need you sir,Positive
1425,i am big fan of jmr from tamilnadu,Positive
1426,this is the power of tdp,Positive
1427,cbn west on koduk,Positive
1428,jagan been to jail in a massive corruption case why people are forgetting this? all he can talk is about cbn’s eyes and head so low of his standards,Negative
1429,jai jagana,Positive
1430,how many of you are here after watching rgv trailer kamma rajyam lo kadapa reddlu?,Negative
1431,cbn charge sheets at court u r unfit for cm cbn garu,Negative
1432,d 11 t,Positive
1433,don't mass,Negative
1434,a group leader,Positive
1435,raithula gurinchi prathi paksham lo vunnappudu poratam chesavu ippudu full mezarity tho gelichavu andhariki upayogapade panulu chesi prajalapai barampadakunda pathakalu amalucheyyi ave meeku vari deevenalu malli vote adige arhatha vuntundhi god bless you,Negative
1436,gym!gt,Positive
1437,jagan is trash,Negative
1438,chic mullahs,Negative
1439,am dayana from mysore karnataka am big fan of y s jaganmohan sir because his great contribution on reservation to locals may be he is first our karnataka politicals are cheap compare to you sir all the best for ur next contribution on andra people's,Positive
1440,cbn's ethical integrity should speak for itself,Positive
1441,don't you have a son like me?,Negative
1442,orei kozza my kid don't talk dirty words,Negative
1443,only babugadu,Positive
1444,tv tv egg,Positive
1445,jagan as cm,Negative
1446,cbn mari mel 420 kanda cbn,Positive
1447,anna jagan played when he was in opposite one,Positive
1448,it's wrong dear i am seeing before cm,Negative
1449,stop personal criticism and talk about the state sir,Negative
1450,jai jagan anna!!!!!!! now he's the cm no one can enter his field chandra babu naidu is saying many jokes i'm getting laugh about his neethi,Negative
1451,whenever i need to remember ap cm i used to memorize like andhra babu naidu but now a young south film star like personality becomes new cm and i don't need to memorize cm name as jagan's personality sketched in my eyes,Positive
1452,contract employee sangathi what?,Negative
1453,"<b>ss marriagebureau & all loans</b> 1} <b>marriage bureau</b> 1st 2nd related to all castes { events will be done } 2} <b>loans & finance & government subsidized loans</b> give give give <a href=""http://www facebook com/sivasankaraservices"">www facebook com/sivasankaraservices</a> like and share this page <b>ap&tg</b> @7997661662",Negative
1454,jai chandrababu down down jagan malli 2023 lo chandrababu come really 2023 bye bai jagan,Negative
1455,andra dogs lost good leader like pawan kalyan andra people are like fox kula gajji kukkas they need all help they cry for help when needed they take help and they vote for other criminal just because he walked many kms to gain sympati and they got 300rs the night before election!,Negative
1456,vijay v l vijay v l vijay v l vijay v l,Negative
1457,"<b>ss marriagebureau & all loans</b> 1} <b>marriage bureau</b> 1st 2nd related to all castes { events will be done } 2} <b>loans & finance & government subsidized loans</b> give give give <a href=""http://www facebook com/sivasankaraservices"">www facebook com/sivasankaraservices</a> like this page and share to all <b>ap&tg</b> @7997661662",Negative
1458,shut your mouth cbn,Negative
1459,babu bollini sodi apara babu venelakapotunum,Negative
1460,babu's government alone is not honest,Negative
1461,moddalo lo partti tdp,Negative
1462,very sad this speaker is useless guy,Negative
1463,sri babu garu jagan garu eppudu em icharo prajalu chusaru ga nee pani aipointi babu nuvvu nee donga choopulu nadendla bhaskar rao garu mimmalni tirupati lo pic pocketer ani chepparu nijamenaa,Negative
1464,"if you are a seam in ori lottery, why did you come with jagan's seebum?",Negative
1465,super jagan bro,Positive
1466,jagan anna great,Positive
1467,"sir, how many sons of tiger are you? you are not sati.",Negative
1468,"jai chandra babu naidu, what day did you come before us, definitely next time manama will win.",Positive
1469,i'm from tamil nadu i understand little telugu honble cm jagan's speech is fantastic his telugu is simply awesome,Positive
1470,people given the correct judgement after watching this,Positive
1471,now only i am watching this video how chandrababu is talking in assembly,Positive
1472,just love the way jagan trolls his opponent,Positive
1473,jagana brother correctly,Positive
1474,am watching from tamilnadu because of him one and only jagan sir,Positive
1475,you are a big thief ys jagan mohan reddy,Positive
1476,"cabin jagan is what it is, but there is nothing else as high as kodela",Positive
1477,jagan sir i pray to god that you will do good administration and win again and again,Positive
1478,poor ethical values ​​shown by this old man god is there ntr is happy in tdp tunga loki,Negative
1479,let's see how well jagan will do when you do it,Positive
1480,really talking about a seam without minimum values,Negative
1481,yes mana kharma ento jail ki vele valu cm,Positive
1482,cm garu (jagan) this is not fair yes i agree with chandrababu sir,Negative
1483,was it necessary to high other excm by attaching stories circasm why are these being posted now,Positive
1484,tdp fans like here,Positive
1485,who would have thought that jagan would buy topu like,Positive
1486,ananu makosa moptavu ana,Negative
1487,"jagan, you were the cm then",Negative
1488,chi chandrababu waste,Negative
1489,now jagan cm woooowwww,Negative
1490,fix the state not shouting in front,Positive
1491,nice,Positive
1492,happy to see lots of watchers from tamil nadu,Positive
1493,just heart breaking to see how cm was trying to avoid a valid question about farmers issues instead i see only personnel attack here from tdp,Negative
1494,"that is the birth of nora's lies, but all the raw lies of babu",Positive
1495,enough sir tell me why did you close the sugar factory if neeniti nejeyi was involved,Positive
1496,i have tdp i have i have cbn,Positive
1497,jagan can't speak at least,Negative
1498,edema,Negative
1499,hurreeee masth entertainment ysr gari assembly meetings kuda super o legend sorry i am not supposed any party,Negative
1500,ysr speech super,Positive
1501,there is a good comedian in jagan's room,Positive
1502,president president president,Positive
1503,edharu dongle,Positive
1504,super anna jai ​​jagan anna,Positive
1505,"what is it like, the fangs and thieves are sharing the uru when there is a fight",Positive
1506,godava speech,Positive
1507,"kodela shiv prasad was punched and sent away. lanja's son is not useful for anything except to wear chicken panderas. look, my kid.",Negative
1508,here is how much the speaker was bought,Positive
1509,there is no common sense that the dead should be respected by anyone,Negative
1510,in 2019,Positive
1511,big joke of cbn,Negative
1512,i am big fan jagan mohan from tamil nadu,Positive
1513,jfc jegan fans clupaaaa,Positive
1514,i am tamil nadu i love jagan mohan reddy,Positive
1515,jagan is no ordinary man,Negative
1516,everything is related to both central and state government don't blame the state government only,Positive
1517,if really you like to enlighten the farmers it is better to introduce organic farming and afforestation for better crop yield and good rains,Positive
1518,3 mp seats lol for u,Positive
1519,23 seats were won by pradivasha,Negative
1520,babu,Positive
1521,ore bollu apar ni sollu,Negative
1522,i am from tamilnadu u guys r very lucky because u have a great cm in ur state jagan sir,Positive
1523,watching on 09 6 2019 how will be assembly,Positive
1524,naidu,Negative
1525,super a p cm,Positive
1526,any one translate to tamil or english,Negative
1527,telugu movie full rama,Positive
1528,can anyone subtitle this it sounds very fascinating the way jagan sir presented himself was elegant and graceful the look of chandrababu defeat was so clear on his face but damn i couldn't understand the single word cause i don't know the language pls anyone subtitle,Positive
1529,have no shame chandrababu chee,Neutral
1530,i fuck u babu,Negative
1531,waste fellow chandra babu neevi donga study certificates,Negative
1532,in each and every state we need like jagan mohan reddy sir,Positive
1533,everyone is laughing at you and your son whenever you look at the back,Negative
1534,i just love jagan mass leader,Positive
1535,jagan morgan is a hero,Positive
1536,jagan is so funny making fun even in serious discussions sense of humor at its peaks,Positive
1537,speaker yaru pakka tdp i know,Positive
1538,i request andhra people to change the assembly speaker he is in favor of cbn and dont allow jagan to speak truth jai jagan,Negative
1539,well spoken by jagan sir,Positive
1540,what happened to this speaker was very fair and he was beaten with rags for his work in the vidhu assembly,Negative
1541,"if you talk to ray cbcp mouthpiece jagan, talk here and there",Negative
1542,23 mandhi y c p m l a lanu dabbulichi lanchalichi padhavulichi konnave nuvva neethi neyam darmam gurinchi maatladedhi chandrababu nuvvu criminal dongani prajalakantha telise ninnu odincharu jai jagan,Negative
1543,4th june 2019 watching this from tamilnadu !!!,Negative
1544,i from karnataka i like is jagan,Positive
1545,taliva e lowr u,Positive
1546,who is watching after jagan became cm,Positive
1547,jai yasar jagan borough,Positive
1548,shame gone cabin de puli baby tiger that's why 151/175 came,Negative
1549,"your mother puku ra babu, you did not care for babu eri puku",Negative
1550,nijam cheppav jagan anna dongala party telugu desam party jai jagan annnnnnnnnnnnnna,Negative
1551,just imagine now jagan as cm,Negative
1552,pora lucha chandrababu,Positive
1553,would,Neutral
1554,worst speaker,Negative
1555,jai jagan ur superb sir,Positive
1556,"<a href=""https://www youtube com/watch?v=gcrxv40gtme&t=5m30s"">5:30</a> real voice of jagan that is jagananna",Negative
1557,vishwas niya party telugu desam party has become stubborn,Neutral
1558,ysr is correct,Positive
1559,really correct jagan anna,Positive
1560,now jagan has become the chief minister of andhra pradesh and chandrababu has now become the chief minister of andhra pradesh.,Positive
1561,"now let's go to jail, don't suffer like old people, take care of pappu",Positive
1562,you used to talk about those who live in fear of getting stays and those who fight without fear of theft cases.,Positive
1563,jai jagan thorpe 4rev,Positive
1564,mr reddy,Positive
1565,jai jaganam,Positive
1566,ntr garu where chandranaa,Negative
1567,"good luck to you from tomorrow, jesus",Positive
1568,i am tamil nadu but i like it ap chief minister jagan anna speech in our position wish you all the best jagan anna and ap peoples your correct choice in our leader of the ap,Positive
1569,na furu ra seebum ga na kedu ra kuja na kodaka,Negative
1570,"deeksha's full support in chandrababu naidu is well understood, not correct in the assembly, adyaksha babu gives money.",Positive
1571,now,Positive
1572,history repeats,Positive
1573,evadra corruption nidi ra corruption yasaggamr,Negative
1574,ur speech super bro ysr,Positive
1575,i didn't understand but it was nice to hear.,Positive
1576,when people can't answer the just laugh,Negative
1577,tell the cm that interest rates should be brought down in kadapa,Positive
1578,"jagan garu i have just come to know that you can't really talk, don't you even know how to solve the problem?",Positive
1579,jagan anna assembli ni dulipesav anna,Negative
1580,"chandra babu has given you the right to talk about our viceroy, so please mind your words about our viceroy, if once again viceroy speaks badly.",Positive
1581,"chandrababu is laughing when you are talking, are you also talking about truths?",Negative
1582,what a satire jagan anna 420=babu gadi bulli udipovali,Negative
1583,i am in tamil nadu but ys jagan reddi is true cm,Positive
1584,now be careful ex cm,Positive
1585,bye bye bapu,Positive
1586,kojja jagan mind your words keep your eyes close and speak kojja jagan,Positive
1587,chetta assembly,Positive
1588,speaker jai jagan is also a fan of babu,Positive
1589,who supports the jagan from tamilnadu,Positive
1590,today 29 may 2019 tomorrow cm jagan anna,Negative
1591,codela's padilinda,Positive
1592,"let's see what your ethics are, bollibabu",Positive
1593,by by babu,Positive
1594,sir super,Positive
1595,worst politicians,Negative
1596,chandrababu on donga babu jagan cm,Positive
1597,orey cbn nv neti nijayati la gurinchi matladutuntey dayalu vedalu cheptunatlu undi and nuvuu telugudesam party loki ela vochavoh me mama ki venupotu guchi cm ela ayavoh antha maku telusu teliyani vallu lakshmi's ntr chustey telistundi sooo ela cheta lie's matladaku and neeku ysr gari gurinchi matlade rite a ledhu he(ysr) is true and great dynamic leader i hate cbn,Positive
1598,"in 2019 elections, the people spoke to the speaker",Positive
1599,"let go of righteousness, let go of honesty",Positive
1600,"remove the bloody idiot <a href=""http://www youtube com/results?search_query=%23speaker"">#speaker</a>",Negative
1601,"even if you don't want to take the oath, congratulations to ma jagan, even if it's been 10 years, there is pain in the work, there is honesty in the word. my father, ysr baba, walked on a padayatra with ysr, i walked on a padayatra with my mother, jagan. the beginning will not stop steal ma jagan ana ap cm isaiah 60:15 according to isaiah 60:15 god will hide and protect you jagan in his wings, the cold reign will begin yes god bless you, your younger brother benjamin triple ch ycp leader",Positive
1602,"jagan punched you before he became cm, when did you still have it?",Negative
1603,at least,Negative
1604,talk about people problems,Positive
1605,jai jaganna is a really great tiger,Positive
1606,farmer chachipothunnadu antey please conclude antaav evarra veedni speaker chesndi chaa digu mundu kurchi nundi moron do you know the value of life ey speaker velli mee thathano lekuntey mee muthaathanooo adugu the value of farming ento chepthaaru because they'll definitely be farmers,Negative
1607,change the speaker ey please stop antaav farmers antey antha cheap aindaa annam kuda tinalev nuv repu vallu lekuntey adukku tinaali chepthuntey vinipinchikov deniki speaker antey cheppedi vinadaanikey sollu aithey ok oka raithu kastam cheppadanikostey 5 mins antaavaa rip for the guys who elected u for that seat speaker,Negative
1608,who's watching this after 2019 ap elections rofl,Positive
1609,jagan sir don't forget to send jail mr liar chandrababu,Negative
1610,inka ysrcp power lo ki raledu ani koni ysrcp ni intha ga ibbandi pettaru 2019 lo ippudu ysrcp gelichindi tdp ki migilinadi 23 mlas 420 cbn inka tdp pani ayi poyindi cbn ni entha ga tittina tappu ledu,Negative
1611,"did they buy the winner of the vice-recipe, dong seebum 2019 now have 23 mls left 420 cabin pora kukka cabin",Negative
1612,indeciplned assembly mla's are came to assembly as if they go to market dress i never seen like this they should wear white dress during assembly meetings,Negative
1613,do you speak the truth in front of the moon? who ran away seeing whom?,Negative
1614,i am from karnataka my opinion is next cm is ys japan for good democracy,Positive
1615,good jagan mohan reddy,Positive
1616,chandra babu naidu danganakoduku,Positive
1617,why tdp speaker are doing games,Positive
1618,jagan super,Positive
1619,don't tell me about babu's water,Negative
1620,change the first speaker,Positive
1621,"if ilantodu is like the president, everyone's lives will be destroyed",Negative
1622,"no one who does not have righteousness should not bother you. in adam, righteousness is a waste fellow's cabin",Negative
1623,"chandrababu naidu's words should be a little careful, okay, vissar has done very well for the farmer, okay, no one in the house is good enough to say him okay.",Positive
1624,jagan,Neutral
1625,why did my righteous son lose?,Negative
1626,jagan clean sweep,Positive
1627,now jesus will rule ap amen,Positive
1628,jai jagan former friendly cm,Positive
1629,"is it 30th of may, babu, muslim festival for you?",Negative
1630,muskoni pora telugu country dog,Positive
1631,orey babu na just mind your tongue while talking about our dr ysr garu & jagan anna all the best bro u just continue it war we will be always with you jai ysr jai jagan,Positive
1632,nv should say about ethics and honesty,Positive
1633,"what a waste, instead of listening to what jagan is saying, the speaker should be changed to sit, sit, sit",Negative
1634,earlier that tikkalodu speaker kodela marchandi konda tikkalodu,Negative
1635,speaker match fixing,Positive
1636,"ray jagan, the day will come when you will survive doing comedy",Positive
1637,chandrababu finished nandamuri family and look hes speaking rofl lol good jagan as a peoples man won in complete majority tet him do good for the people of andra pradesh and he will do that's what's my personal opinion,Positive
1638,your gazette paper today is andhra jyoti !! lol,Positive
1639,speaker to pikandira,Positive
1640,this speaker is always biased towards tdp,Negative
1641,budabukkala speaker,Positive
1642,funny face funny fellow chandra babu ivala state mottham chusindhi nilanti vadu kuda ys rajashekar reddy gurinchi matlade potugadu ayyipooyadu silly fellow andhuks tody mattikottukupooyav,Positive
1643,when will niki show ra babu?,Negative
1644,n r n,Positive
1645,jai rajkiyam,Positive
1646,hi jagan sir you are in that place now its very good opportunity for you instead of questioning blaming other parties change and do your promises any way congratulations sir,Positive
1647,i hope jagan also vl serve his people like his father but r cm kcr is the best jai telangana,Positive
1648,mr babu stop talking negative abt ysr he did so much of service to his people and bcoz of him v have done btech and mtech freely,Negative
1649,"on the other hand, the 420 420 420 cabin is a useless yadava",Negative
1650,jai jai jagan jai jai jagan,Negative
1651,jai cabin is closed under jagan,Negative
1652,kutta muyara pukka nitilu,Positive
1653,any body explain adheksaa means?,Negative
1654,who are watching after jagan becoming cm,Positive
1655,nice speech ur the real hero that's why you are cm,Positive
