,Comments,Emotion_predicted
569,"the one who stuttered before, sir, you are the first cm, the home minister, paspka, the finance minister, seebum.",Negative
570,get drunk,Negative
571,that's all,Neutral
572,how did vd know that nani is a d cut draver?,Negative
573,ah gutka for me,Negative
574,t24 lo i epoted,Negative
575,nest made,Negative
576,"go to the temple and touch nani, babulu 1st bully babulu is making good jokes.",Negative
577,"you are politicizing this matter before you talked about the possibility that it is not cow dung. what is wrong, anna?",Positive
578,"hey, we will pay you not one penny but a thousand rupees, you desecrate telugu language.",Positive
579,kodali you will experience,Negative
580,kodali you will experience,Negative
581,kodalinani is a broker,Negative
582,whatever lokesh anna brings tdp,Negative
583,good joke,Negative
584,"they thought that nara lokesh's padayatra in the name of yuvagalam would benefit tdp politically and tdp leaders hoped that lokesh would become strong as a leader, but by the end of the padayatra, lokesh will become a petty man, leaving aside the fact that he is a strong leader. he is respected by the leaders of his own party, but he has failed to prove that he has leadership qualities, according to the majority, so far lokesh has not been able to win the direct election. lokesh's words have proved to himself that there is not much scene in practice except that lokesh's words cross the forts. lokesh said that we can see the speech beyond the limits, kill, mutilate, drive away, etc. at will. lokesh said that this is lokesh's language, this is his personality. these words are enough to tell how bad lokesh's leadership qualities are. circulating as lokesh should take a look at himself for speaking such base words, there is no need to speak the language of drawers to satisfy the ranks of tdp. winning in politics either elevates the leaders or pushes the parties to the underworld. the question arises as to why lokesh doesn't realize that he will be diluted by talking small talk without strategizing for such things. even if lokesh doesn't have such lofty ideas, aren't there people who say that he should at least come down to his level? whether or not lokesh does a padayatra will ultimately depend on whether the public accepts or rejects it.",Negative
585,lokesh bestestic speeking persan mostest talking man like pavan and balakrishna in the ap state of andhra pradesh he well leadership political leader talented like cbn his fathar sar,Negative
586,go home,Negative
587,lokesh awesome need like this rebel talk to ap,Negative
588,jai viceroy cp boy boy babulu,Negative
589,whatever is known,Negative
590,sasana sabha,Negative
591,if you don't come to power,Negative
592,jai papa anna ki,Negative
593,"in this period when many people are dying for one meal or food, a farmer who has cultivated three acres of crops, who is watering or digging a hole for his crop, has been called by a ysrcp leader. happened",Negative
594,mana thalli endhiro piccha pooka,Negative
595,"don't be afraid, the people of the state will be happy to do the same to him",Negative
596,nee mother avamanincharante very sad but kodalini you are dry chestanatunnav can it happen?just look at him closely gundaagi chasthav,Negative
597,half brain madhava reddy kodaka,Negative
598,rashtranni uddharinchandi ra ante ee revenge lu enti ra please vote for janasena or even to ka paul also but don't vote for anyone like this party having personal vengeance,Negative
599,jaipapu,Negative
600,"lokesh, i am a bjp supporter but seeing the change in you, i support you",Negative
601,either tdp or lokesh anna,Negative
602,most painful of all is the removal of canteens in tamil nadu still running in the name of jayalalithaa.,Positive
603,nayanananda karga ran with fatapat drayaru,Negative
604,just like rajasekhar kicked out ramireddy in the movie ankusam,Negative
605,after 9 months another 5 years,Negative
606,this is required,Negative
607,papu pappy forever,Negative
608,go lokesh go natri,Negative
609,ri shame ledantra vedhavalla,Negative
610,"if you say balayya dialogues, it's a great comedy",Negative
611,"if you win first, make sure that you don't lose everything with the people's vote",Positive
612,jai tdp,Negative
613,super babu,Negative
614,well done,Negative
615,abba lorry scolding the cleaner is so loud,Negative
616,nani was lost in the zoom meeting,Negative
617,give respect and speak who are you sansi,Negative
618,"wherever you come, wherever you come, don't run away from the state",Negative
619,super anna,Negative
620,"it is the credit of rama rao, who believed that positions are important to you, that you dragged your mother out yourself.",Positive
621,ore lokesh em vagutunnav ra babu,Negative
622,"if ap wants to be made like another sudan, we need a leader like you. if you call a leader a psycho, you will know how much of a psycho you are. yes, you are a mentally certified mla in your tdp.",Negative
623,"pulakesi, if you see kodali nani, you will be shocked",Negative
624,kodali nani will trap you,Negative
625,no one knows about their departments waste ap ministers,Negative
626,"bro lokesh, i will give punishment to kodali gadi. as a legislator, we have seen their behavior. there is no problem of leaving. we will not wait for 9 months. the countdown has started. we will see to it.",Negative
627,whatever lokesh,Negative
628,i have i have tdp,Negative
629,to the telugu nurse in front of the orei monk,Negative
630,jai tdp,Negative
631,how many mistakes are there?,Negative
632,jai jai tdp leaders,Negative
633,"ore tikkasannasi, put aside the matter of whether you said bad things about your mother or not, people have forgotten that, but you yourself are giving unnecessary publicity to those words and taking your mother's honor in the market.",Negative
634,"hey, even if you come first, you'll get pissed off",Negative
635,super super super super super lokesh anna,Negative
636,this is the oven,Negative
637,loki wins with bumper majority,Negative
638,whatever lokesh anna,Negative
639,still he has to improve his telugu,Negative
640,"lokesh, we are following you, why don't we march without a cut drawer?",Negative
641,super hope you do that,Negative
642,comedy super ra papu,Negative
643,are you contesting? first of all try to focus on your seat and think for party,Negative
644,"please change your language, babu",Negative
645,whatever lokesh anna,Negative
646,jai cbn jai tdp,Negative
647,"vyssar means that they have made them feel ashamed, they have created situations that cannot arise, sari to se",Negative
648,pappu will leave your rust,Negative
649,focus on kuppam constituency or you focus on mangalagiri,Negative
650,surely nani gadi should be taken by beating her on the drawer like in the movie ankusam,Positive
651,say it correctly lokesh anna,Negative
652,cbn varaku we accepted but lokesh babu can't broooooo,Negative
653,super speech,Negative
654,lokesh ana pashto telugu lo chippuram net core,Positive
655,best person don’t judge his voice,Negative
656,endi ra swamy andarni antu chustananataru prajala turin hi alochinachara prajalaku em cheppu swamy valla meeeda peatikaram teerchukidanuka meeku votlu veyyalsindi,Negative
657,go lokesh go tdp,Negative
658,if lokesh rakapothei after 9 months,Negative
659,jai saban sir jai lakesh babu,Negative
660,now nachhavu's younger brother,Negative
661,kodali nani has no culture to tell him,Negative
662,"she spoke, he is bad, people should say that you are cultured or apu sollu made",Positive
663,super,Negative
664,they will take it to you drawer,Negative
665,send davpi to you to your father to the drawer,Negative
666,jagan gelostadu,Negative
667,jai jagan,Negative
668,"mother-in-law and mother-in-law should also tell the road that their children are their children, then the booty will come",Negative
669,"hey pappu sanyasi, you are also using your own mother, what a shame, why do you insult her again and again?",Positive
670,tdp ycp no jessup kiss,Negative
671,"if you don't sell gun shot, you shouldn't be silent",Negative
672,great lokesh,Negative
673,whammo nuvvey na anna ila ounteinay neggutao in politics,Positive
674,waiting waiting jai lokesh,Negative
675,jugluk development babai polavaram investments seeps special status capital industries praja vedika anna canteen inspiration africa andhra pradesh finally,Negative
676,ed naku kavalisandhi lokesh go back tdp go soap go lokesh go ntr,Negative
677,thin rice monk is good,Negative
678,from which day did the ycp batch know that lokesh means king,Negative
679,whatever lokesh anna,Negative
680,"ray, you are saying that you will take off your dresses, but you have the power to do service, not for revenge, if you are such a dummy, do it now.",Positive
681,pora papu lokesh,Negative
682,jai tdp jai cbn,Negative
683,lokesh has been cmpltely changed now,Negative
684,"whiting brother, give me that lanza",Negative
685,what will be your situation if the vice-rcp does the same?,Negative
686,jai tadap super anna,Negative
687,they are cursing each other more than others. from now on our political leader's speech should also be called 18.,Negative
688,jai lokesh anna,Negative
689,tomorrow you will have a counter location,Negative
690,vijayostu lokesh babu,Negative
691,"lokesh, if you have that much manliness, compete in gudivada and win",Negative
692,is it in the script called super speech lokesh?,Negative
693,"lokesh, who has been seen as a different politician till now, is a different level leader vijayostu lokesh",Positive
694,thadasthu,Negative
695,jai tdp,Negative
696,vijayostu lokesh,Negative
697,sa sa na sabha naira malokam sabha sabha anali kavalasina daggara vadilestunnavu lanai daggara saaga istunnavu teluguni kuni you are doing nothing politician vura babu you go to school again after learning letters rajakiyalaki ra baguntaadi,Positive
698,sir mir mla has no mud,Negative
699,i am pikal's brother chudamule,Negative
700,are gytly what speak thunav come lokesam mundhu you win come swmay malli kadrayar theduv come swmy,Negative
701,jai kodali,Negative
702,or location kodali nani kali goti is also useless,Negative
703,yas super,Negative
704,"next, move on to the miru gewali kadar",Negative
705,there is no one who has recovered from this man who insults women by saying something magical,Positive
706,jai tdp jai chandrababu jai lokesh babu,Negative
707,super lokesh god bless you,Negative
708,super speech lokesh anna jai ​​tdp,Negative
709,say a gutsy dialogue,Negative
710,hi is no 1 fight,Negative
711,i don't like to parade him with a cut drawer.,Negative
712,these lentil balls are not manchollu and what good will they do for us?,Negative
713,lokesh is speech is excellant,Negative
714,"hey, we didn't hear whether he said it or not, but you must be doing a lot of publicity, shame on you, leader.",Positive
715,"if the language worst is given power to any man, the state will become theirs",Negative
716,"even if you have guts, why should you compete in gudivada, jay jagan?",Negative
717,aeeyyyyyyyyyy,Negative
718,is it big?,Negative
719,nani vaad jai tadap jai tadap jai tadap jai tadap,Negative
720,lokesh reddy is super,Negative
721,people are going to throw rags at gutaka mine until lokesh in 2024,Negative
722,good sir,Negative
723,"in 9 months they will be delivered, what will happen ray, you have to come to power, what if you are already in power, a bunch of pulses will burst.",Negative
724,it is always the same with the adopted son,Negative
725,next electionlo kuda kodali vamshi ambati roja ketugadu anilkumaryadhav ee lanjakodukulaki puttina jagangadine ap prajalu gelipinchi sarwanasanam avvali appatidaka prajalaku buddiraadu,Negative
726,9nelalu agythi ampekuthawra papuga soluappy musukora prasatha athaga,Positive
727,what is our mother raja?,Negative
728,whatever wake up anna,Negative
729,"you don't have that much, learn to speak and leaky behavior",Negative
730,"it's lokesh babu lokesh babu on cb, not jai lokesh",Positive
731,next cm cbn sir,Negative
732,good joke 2023,Negative
733,vedava river,Negative
734,"they who are not in power have spoken like this, what is happening now, if the situation is like this, what are you talking about?",Negative
735,the delivery of that dialogue sounds like something is stuck in your throat,Negative
736,that means lokesh garu that you come to power is not to do good for the people,Negative
737,jaihoo jaihoo jaihoo jaihoo jaihoo jaihoo jaihoo jaihoo jaihoo lokesh babu garu,Negative
738,kodali bhutula nakodaka and cattle dr. gadu neethi gentile telugu gentile pests,Negative
739,what kind of pulse is sangabiyam?,Negative
740,newly tied babu,Negative
741,when tdp antay,Negative
742,"what are you going to do, compete in the temple and look after it, but you won't even have clothes",Negative
743,"tughluq jagan and pretum will destroy the entire batch soon, crazy reddy.",Positive
744,waiting for the scene,Negative
745,he can't find it after the elections jump,Negative
746,"take that drawer and take it in a procession and if you lose, if you lose, then voluntarily take a procession in the temple.",Negative
747,don't say anything,Negative
748,the people of andhra knew who was better between nara lokesh and kodali nani.,Positive
749,"go to tdp, go to soap, go to lokesh",Negative
750,"hey babu, you don't have much sense, comedic pace, babu is not good for serious work.",Positive
751,jai lokesh anna,Negative
752,if you go to purushmanat soap,Negative
753,what a fire,Negative
754,luccha kodali vamsi,Negative
755,"if it is not for the son of widow chandrababu to sell kadayars in the gudivada center, then it is also useless.",Positive
756,jai lokesh anna nv should come and settle the matter of fingers anna,Positive
757,"there is rajyagam as you said, if you turn it with a drawer in gudivada, why are you mogodi? why do you provoke people and do politics?",Positive
758,"is it you who comes; don't even hear about your father's sanskara sanyamana, self-respect and self-pride come first.",Negative
759,go tdp go tdp go soap go lokesh,Positive
760,this is the man of the story i.e. jai tdp jai lokesh,Negative
761,jai lokesh jai tdp jai gannavaram people,Negative
762,remind the people of sannabiyyam,Negative
763,whatever tdp jajah basi ya kan zindabad naar lokesh anna,Negative
